date,language,len
2025,VHDL,1
2025,Stata,1
2025,AMPL,1
2025,Nushell,1
2025,CUE,1
2025,Puppet,1
2025,Crystal,1
2025,D,1
2025,Haxe,1
2025,Open Policy Agent,1
2025,Rebol,1
2025,PostScript,1
2025,SourcePawn,1
2025,Adblock Filter List,1
2025,Dhall,1
2025,XQuery,1
2025,Xonsh,1
2025,Earthly,1
2025,IDL,1
2025,Twig,1
2025,Imba,1
2025,NSIS,1
2025,Isabelle,1
2025,1C Enterprise,1
2025,UnrealScript,1
2025,Noir,1
2025,Cypher,1
2025,HLSL,1
2025,BASIC,1
2025,Diff,1
2025,BitBake,1
2025,Wikitext,1
2025,Stylus,1
2025,FreeBASIC,2
2025,Scheme,2
2025,Objective-C++,2
2025,Visual Basic .NET,2
2025,Erlang,2
2025,RobotFramework,2
2025,Slim,2
2025,Git Attributes,2
2025,ZenScript,2
2025,Smalltalk,2
2025,GAP,2
2025,AutoHotkey,2
2025,Common Lisp,2
2025,Mermaid,2
2025,Visual Basic 6.0,2
2025,Liquid,3
2025,LabVIEW,3
2025,Motoko,3
2025,Mathematica,3
2025,Roc,3
2025,mcfunction,3
2025,XSLT,3
2025,Cairo,3
2025,Apex,3
2025,ASL,3
2025,YARA,3
2025,Odin,3
2025,Luau,3
2025,AngelScript,3
2025,templ,3
2025,Meson,3
2025,Hack,4
2025,Cython,4
2025,MLIR,4
2025,Modelica,4
2025,F#,4
2025,Clarity,4
2025,GSC,4
2025,SQF,4
2025,xBase,4
2025,Antlers,4
2025,WDL,4
2025,XML,4
2025,Move,4
2025,CodeQL,5
2025,FreeMarker,5
2025,Logos,5
2025,GLSL,5
2025,Elm,5
2025,MoonBit,5
2025,Less,6
2025,SystemVerilog,6
2025,Game Maker Language,6
2025,Typst,6
2025,Racket,6
2025,Nim,7
2025,Verilog,7
2025,Nextflow,7
2025,TSQL,7
2025,PLpgSQL,7
2025,OpenSCAD,7
2025,Ren'Py,8
2025,MATLAB,8
2025,V,8
2025,QMake,8
2025,Chapel,8
2025,Gherkin,8
2025,RouterOS Script,8
2025,Cuda,9
2025,Pug,9
2025,TypeSpec,9
2025,Nunjucks,9
2025,Lean,10
2025,Pascal,10
2025,RPM Spec,10
2025,WebAssembly,10
2025,reStructuredText,10
2025,Tcl,11
2025,QML,12
2025,Vala,12
2025,EJS,13
2025,Bikeshed,13
2025,Coq,13
2025,YAML,14
2025,Handlebars,14
2025,ShaderLab,14
2025,Vim Script,15
2025,Assembly,17
2025,Bicep,17
2025,ASP.NET,18
2025,Rich Text Format,18
2025,Fortran,19
2025,Just,19
2025,Batchfile,21
2025,Objective-C,21
2025,Mustache,21
2025,Zig,21
2025,Jsonnet,21
2025,CMake,23
2025,Emacs Lisp,24
2025,Perl,25
2025,OCaml,27
2025,Groovy,31
2025,TeX,32
2025,Haskell,34
2025,Clojure,40
2025,JSON,41
2025,LLVM,49
2025,GDScript,51
2025,Markdown,51
2025,Brainfuck,58
2025,Blade,61
2025,Jinja,63
2025,Solidity,65
2025,DM,65
2025,Elixir,75
2025,R,82
2025,Smarty,123
2025,Roff,126
2025,Julia,128
2025,Starlark,132
2025,Astro,156
2025,Lua,183
2025,Dart,197
2025,Svelte,222
2025,Swift,242
2025,MDX,243
2025,SCSS,256
2025,HCL,275
2025,Dockerfile,287
2025,Nix,326
2025,Makefile,378
2025,Jupyter Notebook,382
2025,CSS,385
2025,PowerShell,473
2025,Kotlin,560
2025,Vue,629
2025,Scala,649
2025,C,808
2025,Ruby,984
2025,Shell,1106
2025,PHP,1114
2025,C++,1349
2025,Rust,1546
2025,C#,2700
2025,Go,2751
2025,Java,2798
2025,HTML,3214
2025,JavaScript,4358
2025,Python,4920
2025,TypeScript,9088
